MS DRG Code,MS DRG,MS DRG Description,CMS MS DRG Weight,Geometric Mean LOS,Arithmetic Mean LOS
358,358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.3491,2.8,3.5
368,368 - MAJOR ESOPHAGEAL DISORDERS WITH MCC,MAJOR ESOPHAGEAL DISORDERS WITH MCC,1.9491,4.6,6.0
369,369 - MAJOR ESOPHAGEAL DISORDERS WITH CC,MAJOR ESOPHAGEAL DISORDERS WITH CC,1.0772,3.1,3.7
370,370 - MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,0.7481,2.1,2.5
371,371 - MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,1.7312,5.2,6.8
372,372 - MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,1.0293,3.8,4.7
373,373 - MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,0.7446,2.9,3.5
374,374 - DIGESTIVE MALIGNANCY WITH MCC,DIGESTIVE MALIGNANCY WITH MCC,2.0737,5.5,7.4
375,375 - DIGESTIVE MALIGNANCY WITH CC,DIGESTIVE MALIGNANCY WITH CC,1.2076,3.6,4.6
376,376 - DIGESTIVE MALIGNANCY WITHOUT CC/MCC,DIGESTIVE MALIGNANCY WITHOUT CC/MCC,0.8989,2.5,3.1
377,377 - GASTROINTESTINAL HEMORRHAGE WITH MCC,GASTROINTESTINAL HEMORRHAGE WITH MCC,1.8012,4.4,5.7
378,378 - GASTROINTESTINAL HEMORRHAGE WITH CC,GASTROINTESTINAL HEMORRHAGE WITH CC,0.9935,3.0,3.5
379,379 - GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,0.6372,2.1,2.4
380,380 - COMPLICATED PEPTIC ULCER WITH MCC,COMPLICATED PEPTIC ULCER WITH MCC,1.8866,4.9,6.3
381,381 - COMPLICATED PEPTIC ULCER WITH CC,COMPLICATED PEPTIC ULCER WITH CC,1.0593,3.2,3.9
382,382 - COMPLICATED PEPTIC ULCER WITHOUT CC/MCC,COMPLICATED PEPTIC ULCER WITHOUT CC/MCC,0.7686,2.4,2.9
383,383 - UNCOMPLICATED PEPTIC ULCER WITH MCC,UNCOMPLICATED PEPTIC ULCER WITH MCC,1.3126,3.8,4.8
384,384 - UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,0.8928,2.5,3.1
385,385 - INFLAMMATORY BOWEL DISEASE WITH MCC,INFLAMMATORY BOWEL DISEASE WITH MCC,1.6223,5.0,6.6
386,386 - INFLAMMATORY BOWEL DISEASE WITH CC,INFLAMMATORY BOWEL DISEASE WITH CC,0.9951,3.5,4.3
387,387 - INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,0.7147,2.6,3.2
388,388 - GASTROINTESTINAL OBSTRUCTION WITH MCC,GASTROINTESTINAL OBSTRUCTION WITH MCC,1.5146,4.7,6.1
389,389 - GASTROINTESTINAL OBSTRUCTION WITH CC,GASTROINTESTINAL OBSTRUCTION WITH CC,0.8232,3.2,3.9
390,390 - GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,0.5831,2.4,2.8
391,"391 - ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC","ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",1.2492,3.7,4.9
392,"392 - ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC","ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",0.7658,2.6,3.2
393,393 - OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,1.6612,4.3,6.0
394,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,0.9409,3.0,3.8
395,395 - OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,0.6515,2.2,2.6
405,"405 - PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC","PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",5.7376,9.5,13.0
406,"406 - PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC","PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",2.8809,5.1,6.4
407,"407 - PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC","PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",2.1180,3.7,4.4
408,408 - BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,3.7529,8.5,10.8
409,409 - BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC,2.1164,4.8,5.9
410,410 - BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,1.5683,3.5,4.1
411,411 - CHOLECYSTECTOMY WITH C.D.E. WITH MCC,CHOLECYSTECTOMY WITH C.D.E. WITH MCC,3.7535,7.8,9.7
412,412 - CHOLECYSTECTOMY WITH C.D.E. WITH CC,CHOLECYSTECTOMY WITH C.D.E. WITH CC,2.2775,5.0,6.2
413,413 - CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC,CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC,1.7309,3.6,4.1
414,414 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC,3.6283,8.0,9.9
415,415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,2.0317,4.9,5.8
416,416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,1.4223,3.0,3.6
417,417 - LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,2.4243,5.1,6.4
418,418 - LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,1.6890,3.5,4.2
419,419 - LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,1.3153,2.4,2.8
420,420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC,3.5165,7.3,10.2
421,421 - HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC,1.9075,3.8,5.2
422,422 - HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC,1.4536,2.7,3.3
423,423 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC,4.1859,8.4,11.8
424,424 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC,2.2841,4.7,6.3
425,425 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC,1.5427,2.2,2.8
432,432 - CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,1.8808,4.7,6.4
433,433 - CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,1.0299,3.3,4.2
434,434 - CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC,0.6207,2.2,2.8
435,435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,1.7534,4.8,6.3
436,436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,1.1215,3.4,4.3
437,437 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC,0.8959,2.4,3.0
438,438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,1.5978,4.6,6.2
439,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,0.8452,3.1,3.8
440,440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,0.6063,2.4,2.8
441,"441 - DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC","DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",1.8795,4.7,6.4
442,"442 - DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC","DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",0.9300,3.2,4.0
443,"443 - DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC","DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",0.6632,2.4,2.9
444,444 - DISORDERS OF THE BILIARY TRACT WITH MCC,DISORDERS OF THE BILIARY TRACT WITH MCC,1.6716,4.4,5.7
445,445 - DISORDERS OF THE BILIARY TRACT WITH CC,DISORDERS OF THE BILIARY TRACT WITH CC,1.0775,3.0,3.8
446,446 - DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,0.8166,2.2,2.6
453,453 - COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,9.1880,7.5,9.6
454,454 - COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,6.0931,3.8,4.4
455,455 - COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,4.7813,2.4,2.8
456,"456 - SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH MCC","SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH MCC",8.6000,9.5,11.6
457,"457 - SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH CC","SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH CC",6.4959,5.2,6.1
458,"458 - SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC","SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC",5.0076,3.0,3.4
459,459 - SPINAL FUSION EXCEPT CERVICAL WITH MCC,SPINAL FUSION EXCEPT CERVICAL WITH MCC,6.7335,6.9,8.6
460,460 - SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,3.9307,2.7,3.3
461,461 - BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC,6.0817,6.7,9.1
462,462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,3.1414,2.6,2.9
463,463 - WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH MCC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH MCC,5.3703,9.9,13.4
464,464 - WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH CC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH CC,2.9759,5.5,7.2
465,465 - WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,1.8441,2.6,3.4
466,466 - REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,5.3457,7.0,8.8
467,467 - REVISION OF HIP OR KNEE REPLACEMENT WITH CC,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,3.5775,3.3,4.1
468,468 - REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,2.8024,1.9,2.2
469,469 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPLACEMENT,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPLACEMENT,3.0859,3.1,4.2
470,470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,1.9003,1.8,2.0
471,471 - CERVICAL SPINAL FUSION WITH MCC,CERVICAL SPINAL FUSION WITH MCC,5.0197,6.8,9.0
472,472 - CERVICAL SPINAL FUSION WITH CC,CERVICAL SPINAL FUSION WITH CC,3.0537,2.5,3.4
473,473 - CERVICAL SPINAL FUSION WITHOUT CC/MCC,CERVICAL SPINAL FUSION WITHOUT CC/MCC,2.5390,1.6,2.0
474,474 - AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,4.0761,9.4,12.0
475,475 - AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,2.1963,5.8,7.2
476,476 - AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,1.1603,2.9,3.5
477,477 - BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,3.3589,8.1,10.1
478,478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC,2.3584,5.2,6.5
479,479 - BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,1.8095,3.3,4.0
480,480 - HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,3.0258,6.2,7.3
481,481 - HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,2.0961,4.3,4.7
482,482 - HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,1.6458,3.3,3.6
483,483 - MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,2.3857,1.4,1.7
484,484 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,2.2298,1.8,2.0
485,485 - KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC,3.4096,8.0,9.6
486,486 - KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,2.1494,5.2,6.1
487,487 - KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,1.6402,3.6,4.1
488,488 - KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,1.9757,3.1,4.2
489,489 - KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,1.2982,1.7,2.1
490,490 - BACK & NECK PROC EXC SPINAL FUSION W CC/MCC OR DISC DEVICE/NEUROSTIM,BACK & NECK PROC EXC SPINAL FUSION W CC/MCC OR DISC DEVICE/NEUROSTIM,1.8845,3.4,4.6
491,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,1.0893,1.9,2.3
492,"492 - LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC","LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",3.4700,6.2,7.8
493,"493 - LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC","LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",2.3258,4.0,4.8
494,"494 - LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC","LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC",1.8517,2.7,3.2
495,495 - LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC,3.6419,7.3,9.6
496,496 - LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,1.9864,3.4,4.5
497,497 - LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC,1.4515,1.8,2.3
498,498 - LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC,2.5837,5.6,8.0
499,499 - LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC,1.1990,2.0,2.5
500,500 - SOFT TISSUE PROCEDURES WITH MCC,SOFT TISSUE PROCEDURES WITH MCC,3.1895,7.4,9.8
501,501 - SOFT TISSUE PROCEDURES WITH CC,SOFT TISSUE PROCEDURES WITH CC,1.7541,4.1,5.2
502,502 - SOFT TISSUE PROCEDURES WITHOUT CC/MCC,SOFT TISSUE PROCEDURES WITHOUT CC/MCC,1.3328,2.4,3.0
503,503 - FOOT PROCEDURES WITH MCC,FOOT PROCEDURES WITH MCC,2.6406,6.8,8.6
504,504 - FOOT PROCEDURES WITH CC,FOOT PROCEDURES WITH CC,1.7750,4.0,4.9
505,505 - FOOT PROCEDURES WITHOUT CC/MCC,FOOT PROCEDURES WITHOUT CC/MCC,1.7750,4.0,4.9
506,506 - MAJOR THUMB OR JOINT PROCEDURES,MAJOR THUMB OR JOINT PROCEDURES,1.4836,3.9,4.9
507,507 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC,2.0609,4.7,5.9
508,508 - MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC,1.4097,2.3,2.8
509,509 - ARTHROSCOPY,ARTHROSCOPY,1.6865,4.1,5.2
510,"510 - SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC","SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC",2.7437,4.9,6.1
511,"511 - SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC","SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",1.9674,3.4,4.0
512,"512 - SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC","SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",1.5545,2.1,2.5
513,"513 - HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC","HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",1.5720,4.0,5.1
514,"514 - HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC","HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC",0.9991,2.4,2.8
515,515 - OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,3.1406,6.4,8.2
516,516 - OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,1.9628,3.7,4.6
517,517 - OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,1.3982,2.1,2.6
518,518 - BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,3.5869,4.2,6.4
519,519 - BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,1.9600,3.2,4.1
520,520 - BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,1.4183,2.0,2.4
521,521 - HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,3.0662,6.2,7.2
