Charge Code,Charge Description
143783,"HHB POUCH,URO,PS 1/2""STOMA,TRANSP,1PC,C"
143785,"HHB POUCH,URO,PS 5/8""STOMA,TRANSP,1PC,C"
143787,"HHB POUCH,URO,PS 3/4""STOMA,TRANSP,1PC,C"
143789,"HHB POUCH,URO,PS 7/8""STOMA,TRANSP,1PC,C"
143791,"HHB POUCH,URO,PS 1""STOMA,TRANSP,1 PC,CO"
143793,"HHB POUCH,URO,PS 1-1/8""STOMA,TRANSP,1PC"
143795,"HHB POUCH,URO,PS 1.25""STOMA,TRANSP,1PC,"
143797,"HHB POUCH,URO,PS 1-3/8""STOMA,TRANSP,1PC"
143799,"HHB POUCH,URO,PS 1.5""STOMA,TRANSP,1PC,C"
143801,"HHB POUCH,URO,PS 1.75""STOMA,TRANSP,1PC,"
143803,"HHB POUCH,1PC,DRNBL LNR,FT CVX CTF 2"" B"
143805,"HHB POUCH,1PC,DRNBL LNR,FT CVX CTF 1.5"""
143807,"HHB POUCH, DRNBL,1PC, FT CNVX BARR PS 3"
143809,"HHB POUCH, DRNBL LNR, FT CNVX BARR PS 7"
143811,"HHB POUCH, DRNBL LNR, FT CNVX BARR PS 1"
143813,"HHB POUCH, DRNBL LNR, FT CVX BARR PS 1"
143815,"HHB POUCH, DRNBL LNR, FT CVX BARR PS 1"
143817,"HHB POUCH,12"" DRNBL LNR,FT CVX CTF 2""BA"
143819,"HHB POUCH,12"" DRNBL LNR,FT CVX CTF 1""BA"
143821,"HHB POUCH,12"" DRNBL,FT CVX CTF 1 1/2""BA"
143823,"HHB POUCH,DRNBL,FT BARRIER CTF 2 1/2""BA"
143825,"HHB POUCH,DRNBL,FT PS BARR,1PC,1-1/2""ST"
143827,"HHB POUCH,DRNBL,FT PS BARR,1PC,1-1/4""ST"
143829,"HHB POUCH,DRNBL,FT PS BARR,1PC,1-3/4""ST"
143831,"HHB POUCH, DRNBL LNR, FT BARRIER CTF 2"
143833,"HHB POUCH, DRNBL LNR,1PC,FT BARRIER PS"
143835,"HHB POUCH,DRNBL LNR,1PC,FT BARRIER PS 1"
143837,"HHB POUCH,DRNBL,PS,FT CVX BARR,3/4"" 19M"
143839,"HHB POUCH,DRNBL,PS,FT CVX BARR,7/8"" 22M"
143841,"HHB POUCH,DRNBL,PS,CVX BARR,1-1/8"" 29MM"
143843,"HHB POUCH,DRNBL,PS,CVX BARR,1-3/8"" 35MM"
143845,"HHB POUCH,DRNBL,CONVX,1PC,3/4""STOMA W/T"
143847,"HHB POUCH,DRNBL,CONVX,1PC,7/8""STOMA W/T"
143849,"HHB POUCH,DRNBL,CONVX,1PC,1""STOMA W/TAP"
143851,"HHB POUCH,DRNBL,CONVX,1PC,1-1/8""STOMA W"
143853,"HHB POUCH,DRNBL,CONVX,1PC,1.25""STOMA W/"
143855,"HHB POUCH,DRNBL,CONVX,1PC,1-3/8""STOMA W"
143857,"HHB POUCH,DRNBL,CONVX,1PC,1.5""STOMA W/T"
143859,"HHB POUCH,DRNBL,CONVX,1PC,1-5/8""STOMA W"
143861,"HHB POUCH,DRNBL,CONVX,1PC,1.75""STOMA W/"
143863,"HHB POUCH,DRNBL,CONVEX,1PC,2""STOMA W/TA"
143865,"HHB POUCH,PREMIER,1PC,CNVX,2""BARRIER OP"
143867,"HHB POUCH,PREMIER,1PC,CNVX,1""BARRIER OP"
143869,"HHB POUCH,PREMIER,1PC,CNVX,1.5""BARRIER"
143871,"HHB POUCH,DRBL,UP TO 2 1/2""BARR,TRANSP,"
143873,"HHB POUCH,PREMIER,1PC,1""STOMA,TRANSP,W/"
143875,HC S1T SHOULDER TOTAL SYSTEM LIMA
143876,"HHB POUCH,PREMIER,1PC,1.5""STMA,TRANSP,W"
143878,"HHB POUCH,PREMIER,1PC,2""STOMA,TRANSP,W/"
143880,"HHB POUCH,PREMIER,1PC,2.5""STMA,TRANSP,W"
143882,"HHB POUCH,PREMIER,1PC,3/4""STMA,TRANSP,W"
143884,"HHB POUCH,PREMIER,1PC,1.25""STMA,TRANS,W"
143886,"HHB POUCH,PREMIER,1PC,1.75""STMA,TRANS,W"
143888,"HHB BARRIER,CPL,2PC,FT,1.75""FLANG,1.25"""
143890,"HHB BARRIER,CPL,2PC,FT,2.25""FLANG,1.75"""
143892,"HHB BARRIER,CPL,2PC,FT,2.75""FLANGE,2.25"
143894,"HHB BARRIER,CPL,2PC,FT,1.5""FLANGE,1""BAR"
143896,"HHB BARRIER,PREMIRE,2PC,CNVX,1.5""FL,5/8"
143898,"HHB BARRIER,PREMIRE,2PC,CNVX,1.5""FLG,3/"
143900,"HHB BARRIER,PREMIRE,2PC,CNVX,1.75""FL,7/"
143902,"HHB BARRIER,PREMIRE,2PC,CNVX,1.75""FL,1"""
143903,HC STNT.NEPHRO.URET.IE.10X22
143905,HC ADAP.1X4.POCKET.ACTIVA
143906,"HHB BARRIER,PREMIR,2PC,CNVX,2.25""FL,1-1"
143908,"HHB BARRIER,PREMIRE,2PC,CNVX,2.25FL,1.2"
143910,"HHB BARRIER,PREMIRE,2PC,CNVX,2.25FL,1-3"
143912,"HHB BARRIER,PREMIRE,2PC,CNVX,2.25""FL,1."
143914,"HHB BARRIER,2PC,CPL,FT,1.5""FLANGE,7/8""S"
143916,"HHB BARRIER,2PC,CPL,FT,1.5""FLANGE,1""STO"
143918,"HHB BARRIER,2PC,CPL,FT,1.75""FLANG,1.25"""
143920,"HHB BARRIER,2PC,CPL,FT,1.75""FLANG,1.25"""
143922,"HHB BARRIER,2PC,CPL,FT,2.25""FLANG,1 3/8"
143924,"HHB BARRIER,2PC,CPL,FT,2.25""FLANGE,1.5"""
143926,HHB BARRIER FLEXTEND W/FLOATNG FLANGE 1
143928,HHB BARRIER FLEXTEND W/FLOATNG FLANGE 2
143930,HHB BARRIER FLEXTEND W/FLOATNG FLANGE 2
143931,HC DEV.RTRV.ROT.TWSTR.22MM
143933,HC NDL.SLIMLINE.HNDL.25GA
143934,"HHB CLAMP,POUCH,DRAINABLE,QUIET FILM"
143935,HC INTRO.TRANS.8.5FX63CM.SL1
143937,HC INTRO.TRANS.8.5FX63CM.SL2
143938,"HHB CLAMP,POUCH,DRAINABLE,QUIET FILM"
143939,"HC GW.GLIDE.ANG.035""X180X25."
143941,"HC GW.GLIDE.ANG.035""X260X25."
143942,"HHB BARRIER,CPL 2PC,FT,CNVX,2.75""FL,2""B"
143943,"HC GW.GLIDE.ANG.018""X180X25."
143945,"HC GW.GLIDE.ANG.018""X300X25."
143946,"HHB BARRIER,CPL 2PC,FT,CNVX,1.75""FL,1""B"
143947,HC DEV.SALINE.AIR.FEMVUE
143949,HC MTHPC.OPEP.AEROBIKA&NEB
143950,"HHB BARRIER,CPL 2PC,FT,CNVX,2.25""FL,1.5"
143951,HC BRACE.WRST.COCK-UP.LT.MED
143953,HC BRACE.WRST.COCK-UP.RT.MED
141407,"HHB POUCH,CLSD,7"",2P,OPQ,1/2""-1 9/16"",G"
141409,"HHB POUCH,CLOSED 7"" 2-PC OPQ 1/2""-2"" RE"
141410,"PR INJECTION, CARFILZOMIB, 1 MG"
141412,"PR INJ, OMACETAXINE MEP, 0.01MG"
141413,"HHB POUCH,CLSD,7"",2P,OPQ,1/2""-2 3/8"" BL"
141414,"PR INJECTION, PERTUZUMAB, 1 MG"
141416,"PR INJ, ADO-TRASTUZUMAB EMT 1MG"
141417,"HHB POUCH,CLS, 8.5"",TRN,1/2""-1 9/16"",GR"
141418,"PR INJ, VINCRISTINE SUL LIP 1MG"
141420,"PR INJ, ZIV-AFLIBERCEPT, 1MG"
141421,"HHB POUCH,CLSD,8.5"",2P,TRNS,1/2""-2""RED,"
141423,"HHB POUCH,CLS,8.5"",2P,TRN,1/2""-2 3/8"",B"
141424,PR CSTM DME OTHER THAN WHEELCHR
141426,PR TLSO FLEX TRNK SJ-T9 PRE OTS
141427,"HHB POUCH,CLSE,8.5"",2P,OP,1/2""-1 9/16"","
141428,PR TLSO FLEX TRNK SJ-SS PRE OTS
141430,PR TLSO R FRAM SOFT PRE OTS
141431,"HHB POUCH,CLSD,8.5"",2PC,OPQ,1/2""-2"",RED"
141432,PR TLSO RIG FRAM PELVIC PRE OTS
141434,PR LO RIG POS PNL L1-L5 PRE OTS
141435,"HHB POUCH,CLSE,8.5"" 2P,OP 1/2""-2 3/8"" B"
141436,PR LO SAG RI AN/POS PNL PRE OTS
141438,PR LSO SAG CTR RIGI POS PRE OTS
141439,"HHB POUCH,DRAIN C-F 1P TRN 5/8""-1 11/16"
141440,PR LSO SAG R AN/POS PNL PRE OTS
141442,PR LSO SC R POS/LAT PNL PRE OTS
141443,"HHB POUCH,DRN,CUTFIT,1P,OP 5/8""-1 11/16"
141444,PR LSO SC R ANT/POS PNL PRE OTS
141446,PR LSO SC R ANT/LAT PNL PRE OTS
141447,"HHB POUCH,UROSTOMY C-F 1P TRN 5/8""-1 5/"
141448,PR KO ELASTIC W/JOINTS PRE OTS
141450,PR KO ADJ JNT POS R SUP PRE OTS
141451,"HHB POUCH,UROSTOMY 1-PC TRNS 3/4-1 3/4"""
141452,PR KO DBL UPRIGHT W/AIR PRE OTS
141454,PR SO HARD PLAS STABILI PRE OTS
141455,"HHB POUCH,UROSTOMY C-F 1P OP 3/8""-2 1/8"
141456,PR WHFO W/O JOINTS PRE OTS
141458,"HHB POUCH,UROSTOMY C-F 1P TRN 3/8""-2 1/"
141460,"HHB POUCH,UROSTOMY C-F 1P TRN 3/8""-2 1/"
141462,PR PNEUMA/VAC WALK BOOT PRE OTS
141463,"HHB ASSURA SM DBL POUCH 1/2"",NDS"
141464,PR NON-PNEUM WALK BOOT PRE OTS
141466,PR STATIC OR DYNAMI AFO PRE OTS
141467,"HHB POUCH,DRAIN SML 2-PC OPQ 1/2""-2"" RE"
141468,PR AK/FT POWER ASST INCL MOTORS
141470,PR IMP NEUROSTI PLS GN ANY TYPE
141471,"HHB ASSURA SM DBL POUCH,NDS"
141473,PR MISC SUP/ACC EXT VAD
141474,"HHB POUCH,DRN,CUTFIT,1P,OP 5/8""-1 11/16"
141475,PR MIS SUP/ACC IMP VAD
141477,PR MIS SUP/AC IMP VAD NOPAY MED
141478,"HHB ASSURA STD DBL PCH 12"" 1,NDS"
141479,"PR INJ, SCULPTRA, 0.5MG"
141481,PR DOXORUBICIN INJ 10MG
141482,"HHB ASSURA STD DBL PCH 12"" 1/2-2 1/4"",N"
141483,"PR IVIG DEMO, SERVICES/SUPPLIES"
141485,PR INJ BETA INTERFERON IM 1 MCG
141486,"HHB POUCH,URO,1P TR 5/8""-1 5/16"" 375ML,"
141487,PR INJ BETA INTERFERON SQ 1 MCG
141489,"PR AMNIOEXCEL OR BIODEXCEL, 1CM"
141490,"HHB ASSURA 1PC CONVEX CUSTM,NDS"
141491,"PR BIODFENCE DRYFLEX, 1CM"
141493,"PR AMNIO OR BIODMATRIX, INJ 1CC"
141494,"HHB POUCH,DRN,CUT-FIT,1PC,OP,3/8""-2 1/8"
141495,PR BIODFENCE 1CM
141497,"PR ALLOSKIN AC, 1 CM"
141498,"HHB POUCH,DRN,CUT-FIT,1P,TRN,3/8""-2 1/8"
141499,PR XCM BIOLOGIC TISS MATRIX 1CM
141501,"PR REPRIZA, 1CM"
141502,"HHB POUCH,1 PC,TRANSPARENT,1,NDS"
141503,"PR EPIFIX, INJ, 1MG"
141505,"PR TENSIX, 1CM"
141506,"HHB POUCH, DRAINABLE CONVEX STD OPAQUE,"
141507,"PR ARCHITECT ECM, 1CM"
141509,"PR NEOX 1K, 1CM"
141510,"HHB FLANGE,PRE-CUT 2-PC 5/8"" GRN,NDS"
141511,"PR EXCELLAGEN, 0.1 CC"
141513,PR AIR AMBULANC NONEMERG FIXED
141514,"HHB CONVEX SKIN BARR/FLANGE,NDS"
141515,PR AIR AMBULAN NONEMERG ROTARY
141517,PR ADLT DISP UND/PULL ON ABV XL
141518,"HHB CONVEX SKIN BARR/FLANGE,NDS"
141519,PR IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE
141521,PR BX BREAST W DEVICE 1ST LESION STEREOTACTIC GUIDE
141522,"HHB CONVEX SKIN BARR/FLANGE,NDS"
141523,PR BX BREAST W DEVICE ADDL LESION STEREOTACT GUIDE
141525,PR BX BREAST W DEVICE 1ST LESION ULTRASOUND GUIDE
141526,"HHB CONVEX SKIN BARR/FLANG W,NDS"
141527,PR BX BREAST W DEVICE ADDL LESION ULTRASOUND GUIDE
141529,PR BX BREAST W DEVICE 1ST LESION MAGNETIC RES GUIDE
141530,"HHB FLANGE,PRE-CUT 2-PC 1 1/4"" RED,NDS"
141531,PR BX BREAST W DEVICE ADDL LESION MAGNET RES GUIDE
141533,PR PERQ DEVICE PLACEMT BREAST LOC 1ST LES W GUIDNCE
141534,"HHB FLANGE,PRE-CUT,CNVX,W/BELTLOOPS,2-P"
141535,PR PERQ DEVICE PLACEMT BREAST LOC EA LES W GUIDNCE
141537,PR PERQ BREAST LOC DEVICE PLACEMT 1ST STRTCTC GUID
141538,"HHB FLANGE,PRE-CUT 2-PC 1 1/2"" BLUE,NDS"
141539,PR PERQ BREAST LOC DEVICE PLACEMT EA LESION STRTCTC
141541,PR PERQ BREAST LOC DEVICE PLACEMT 1ST LESIO US IMAG
141542,"HHB FLANGE,PRE-CUT 2-PC 1 5/8"" BLUE,NDS"
141543,PR PERQ BREAST LOC DEVICE PLACEMT EACH LES US IMAGE
141545,PR PERQ BREAST LOC DEVICE PLACEMT 1ST LESIO MR GUID
141546,"HHB FLANGE,CUT-FIT 2-PC 5/8""-1 5/16"" RE"
141547,PR PERQ BREAST LOC DEVICE PLACEMT ADD LESIO MR GUID
141549,PR REMOVAL SHOULDER FOREIGN BODY DEEP SUBFASCIAL/IM
141550,"HHB FLANGE,CUT-FIT,2PC,5/8""-1 11/16"" BL"
141551,PR PROSTHESIS REMOVAL HUMERAL/GLENOID COMPONENT
141553,PR PROSTHESIS REMOVAL HUMERAL AND GLENOID COMPONENT
141554,"HHB POUCH,DRAIN,CUT-FIT,1P,1/2-2 3/4"",N"
141555,PR TRANSCATHETER TRANSAPICAL REPLACEMT AORTIC VALVE
141557,PR ENDOVASC VISCER AORTA REPAIR FENEST 1 ENDOGRAFT
141558,"HHB POUCH,POST-OP,1PC,DRAINABLE,1/2""X4,"
141559,PR ENDOVASC VISCER AORTA REPAIR FENEST 2 ENDOGRAFT
141561,PR ENDOVASC VISCER AORTA REPAIR FENEST 3 ENDOGRAFT
141562,"HHB POUCH,DRN,C-F 1P,NO WIND,1/2-2 3/4"""
143954,"HHB BARRIER,FLEXTEND,CTF 4X4""(10X10CM)"
143955,HC BRACE.WRST.COCK-UP.LT.LG
143957,HC BRACE.WRST.COCK-UP.RT.LG
143958,"HHB BARRIER,FLEXTEND,CTF 8X8""(20X20CM)"
143959,HC HLDR.SU.INSRT.STRL
143961,HC BIT.DRL.QC.4.3X245MM
143962,"HHB POUCH,DRAINABLE PREMIER,CPL,1-3/4"","
143963,HC BRUSH.FEM.CANAL.4H.IR/SUC
143965,HC SLV.PTCV.F/TIB.NAIL.12MM
143966,"HHB POUCH,DRBL,PREM CPL,2-1/4"",OPAQUE,2"
143967,HC ROD.RMR.2.5X1150.BALL.TIP
143969,"HHB POUCH,DRBL,CPL,2 3/4"",2 PC"
143971,HC MESH.SURGMND.2.0X10X15
143972,"HHB POUCH,DRBL W/ FLANG,1 1/2"""
143973,HC MESH.SURGMND.3.0X10X15
143975,HC MESH.SURGMND.10X20CM.FEN
143976,"HHB POUCH,1PC,PRMER CTF DRN,5/8-2 1/8"""
143977,HC ELCTRD.CORT.MAP.1X4
143979,"HC SPLNT.PALM.PRTCR.3"".LT"
143980,"HHB POUCH 1PC PREMIER CTF 5/8""-2 1/8""BA"
143981,"HC SPLNT.PALM.PRTCR.3"".RT"
143983,HC SPLNT.KYDEX.FNCT.RT.LG
143984,"HHB POUCH,DRNBL,SFTFLX,CTF 2.5""BARRIER,"
143985,HC APPL.STD.1.8MMX14CM.
143987,HC APPL.INTMD.1.8MMX19CM.
143988,"HHB POUCH,UROSTOMY,CPL,1-3/4""FLANGE,2 P"
143989,HC APPL.LNG.1.8MMX29CM.
143991,HC EPIC.2010.TEST.NEW.A.2014
143992,"HHB POUCH,UROSTOMY,CPL,2-1/4""FLANGE,2 P"
143993,HC PIN.4.0X230MM.TRCR.PNT.
143995,HC PIN.2.4X230MM.TRCR.PNT.
143996,"HHB POUCH,UROSTOMY,CPL,1-1/2""FLANGE,2 P"
143997,HC K-WIRE.TRCR.PNT.1.15X230.
143999,HC K-WIRE.THRD.90X230MM.TRCR
144000,"HHB BAG,LEG,URINARY,LF,MEDIUM,18OZ"
144001,HC PIN.2X230MM.TRCR.PNT.F/T.
144003,HC K-WIRE.TRCR.PNT.035X9
144004,"HHB LANCET,TENDERFOOT,1.0MM DEPTH,NEONA"
144005,"HC LAB LEFLUNOMIDE, SERUM"
144007,HIV - 1/2 ANTIBODY DIFFERENTIATION
144008,"HIV 1 RNA, QL TMA"
144009,"HHB DRESSING,FIBRACOL PLUS,4INX4.375IN"
144011,"HHB DRESSING,FIBRACOL PLUS,.375""X.75"",R"
144013,"HHB BLOOD COLLECTION SET, WNG 23GX3/4""1"
144015,"HHB DRESSING,TELFA,8"" X 3"",STERILE"
144017,"HHB DRESSING,PAD,TELFA,NON-ADHRNT,3X4,S"
144019,"HHB DRESSING,PAD,TELFA,NON-ADHRNT,3X4,S"
144021,"HHB BAG,DRAINAGE,STANDARD,DOVER"
144023,"HHB SWABSTICK,CHLORAPREP,5.25ML,2%,EA=3"
144025,"HHB APPLICATOR,CHLORAPREP,3ML"
144027,"HHB APPLICATOR,AMPULE,CHLORAPREP,0.67 M"
144029,"HHB JELLY,LUBE,STRL,FOIL PACK,2.7 GM"
144031,"HHB JELLY,LUBE,STRL,FLIP TOP,TUBE,4 OZ"
144033,"HHB BANDAGE,ELASTIC,SURE-WRAP,3""X5YD,CL"
144035,"HHB BANDAGE,ELASTIC,SURE-WRAP,4""X5YD,CL"
144037,"HHB BANDAGE,ELASTIC,SURE-WRAP,6""X5YD,CL"
144040,"ALLERGY PANEL 19, SEAFOOD GROUP"
144041,"HHB BANDAGE,COFLEX LF2,2""X5YD,TAN,NS,LF"
144042,"URINE CULTURE, COMPREHENSIVE (REFLEX)"
144044,PARANEOPLASTIC PROFILE 1
144045,"HHB BANDAGE,COFLEX,LF2,3""X5YD,TAN,NS,LF"
144046,"COMPREHENSIVE METABOLIC PANEL, PLASMA"
144048,"HHB BANDAGE,COFLEX,LF2,4""X5YD,TAN,NS,LF"
144049,CARNITINE
144051,VENOM YELLOW JACKET IGE (SENDOUT)
144056,"HHB SWABSTICK,LEMON/GLYCERIN,3/PK"
144057,"HC LAB FLOW CYTOMETRY, BLOOD"
144059,"HC LAB FLOW CYTOMETRY, FIRST MARKER (RF)"
144060,"HHB PAD,PREP,ALCOHOL,LARGE,2-PLY,STERIL"
144061,"HC LAB FLOW CYTOMETRY, ADDITIONAL MARKER (RF)"
144063,"HC LAB FLOW CYTOMETRY INTERPRETATION, 2-8 MARKERS (RF)"
144064,"HHB PAD,PREP,ALCOHOL,STERILE,MEDIUM,2-P"
144065,"HC LAB FLOW CYTOMETRY INTERPRETATION, 9-15 MARKERS (RF)"
144067,"HC LAB FLOW CYTOMETRY INTERPRETATION, 16 OR GREATER (RF)"
144068,"HHB REMOVER,ADHESIVE PAD"
144069,HC PANEL - TCR V - BETA (RF)
144071,HC LAB FLOW CYTOMETRY /TC 1 MARKER*
144072,"HHB SWABSTICK,ALCOHOL,3/PACK"
144073,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 1
144075,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 2
144076,"HHB SWABSTICK,ALCOHOL,3/PACK"
144077,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 3
144079,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 4
144080,"HHB SWABSTICK,POVIDONE/IODINE,SINGLES"
144081,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 5
144083,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 6
144084,"HHB PAD,PREP,POVIDONE/IODINE,MEDIUM,BX"
144085,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 7
144087,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 8
144088,"HHB SOLUTION,PREP,POVIDONE IODINE,8 OZ"
144089,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 9
144091,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 10
144092,"HHB TOWELETTE,BENZALKONIUM CHLORIDE"
144093,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 11
144095,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 12
144096,"HHB SWAB,ORAL,DENTIPS,UNTREATED,BLUE, 2"
144097,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 13
144099,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 14
144100,"HHB SWAB,ORAL,DENTIPS,TREATED,GREEN,500"
144101,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 15
144103,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 16
144104,"HHB SWAB,ORAL,DENTIPS,TREATED,GREEN,10/"
144105,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 17
144107,HC LAB ZZ FLOW CYTOMETRY /TC ADD ON 18
141563,PR ENDOVASC VISCER AORTA REPR FENEST 4+ ENDOGRAFT
141565,PR VISCER AND INFRARENAL ABDOM AORTA 1 PROSTHESIS
141566,"HHB POUCH,DRAIN,CUT-FIT,1P,1/2-2 3/4"",N"
141567,PR VISCER AND INFRARENAL ABDOM AORTA 2 PROSTHESIS
141569,PR VISCER AND INFRARENAL ABDOM AORTA 3 PROSTHESIS
141570,"HHB POUCH,DRAIN,CUT-FIT,1P,1/2""-3 7/8"","
141571,PR VISCER AND INFRARENAL ABDOM AORTA 4+ PROSTHESIS
141573,PR TCATH STENT PLACEMT RETROGRAD CAROTID/INNOMINATE
141574,"HHB POUCH,DRN,C-F,1P,NO WIND,1/2-2 3/4"""
141575,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT INITIAL
141577,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL
141578,"HHB IRRIGATION SET,DELUXE,ASSURA,NDS"
141579,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT SAME 1ST
141581,PR OPEN/PERQ PLACEMT INTRAVASC STENT SAME EA ADDL
141582,"HHB SLEEVES,IRRIGATION,ASSURA,NDS"
141583,PR VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I
141585,PR VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I
141586,"HHB SLEEVES,IRRIGATION,ASSURA,NDS"
141587,PR VASCULAR EMBOLIZE/OCCLUDE ORGAN TUMOR INFARCT
141589,PR VASCULAR EMBOLIZATION OR OCCLUSION HEMORRHAGE
141590,"HHB IRRIGATION SLEEVES,NDS"
141591,PR ESOPHAGOSCOPY RIGID TRANSORAL DIAGNOSTIC BRUSH
141593,PR ESOPHAGOSCOPY RIGID TRANSORAL INJ SUBMUCOSAL
141594,"HHB FLANGE,PRE-CUT 2-PC 13/16"" GRN,NDS"
141595,PR ESOPHAGOSCOPY RIGID TRANSORAL WITH BIOPSY
141597,PR ESOPHAGOSCOPY RIG TRANSORAL REMOVAL FOREIGN BODY
141598,"HHB SKIN BARRIER/FLANGE W/BELT 1 1/4"",N"
141599,PR ESOPHAGOSCOPY RIGID TRANSORAL BALLOON DILATION
141601,PR ESOPHAGOSCOPY RIG TRANSORAL GUIDE WIRE DILATION
141602,"HHB FLANGE,PRE-CUT 2-PC 1 3/8"" RED,NDS"
141603,PR ESOPHAGOSCOPY FLEXIBLE TRANSNASAL DIAGNOSTIC
141605,PR ESOPHAGOSCOPY FLEXIBLE TRANSNASAL WITH BIOPSY
141606,"HHB FLANGE,PRE-CUT 2-PC 1 9/16"" BLUE,ND"
141607,PR ESOPHAGOSCOPY FLEXIBLE TRANSORAL MUCOSAL RESEXN
141609,PR ESOPHAGOSCOPY TRANSORAL STENT PLACEMENT
141610,"HHB FLANGE,PRE-CUT 2-PC 1 3/4"" BLUE,NDS"
141611,PR ESOPHAGOSCOPY RETROGRADE DILATE BALLOON/OTHER
141613,PR ESOPHAGOSCOPY DILATE ESOPHAGUS BALLOON 30 MM
141614,"HHB POUCH,URSTMY,P-C,1P,TRN,5/8"",375 ML"
141615,PR ESOPHAGOSCOPY FLEX TRANSORAL LESION ABLATION
141617,PR EGD ESOPHAGUS BALLOON DILATION 30 MM OR LARGER
141618,"HHB CONVEX UROST POUCH DBL 3,NDS"
141619,PR EDG US GUIDED TRANSMURAL INJXN/FIDUCIAL MARKER
141621,PR EDG TRANSORAL ENDOSCOPIC MUCOSAL RESECTION
141622,"HHB POUCH,URSTMY,P-C,1P,TRN,7/8"",375 ML"
141623,PR EDG ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION
141625,PR EDG ABLATE TUMOR POLYP/LESION W/DILATION& WIRE
141626,"HHB POUCH,CONVEX,PRE-CUT,TRNSPRNT,465 M"
141627,PR ERCP STENT PLACEMENT BILIARY/PANCREATIC DUCT
141629,PR ERCP REMOVE FOREIGN BODY/STENT BILIARY/PANC DUCT
141630,"HHB CONVEX UROST POUCH DBL 1 1/8"" TRAN,"
141631,PR ERCP BILIARY/PANC DUCT STENT EXCHANGE W/DIL&WIRE
141633,PR ERCP BALLOON DILATE BILIARY/PANC DUCT/AMPULLA EA
141634,"HHB POUCH,URSTMY,PC,1P,TRN,1 1/4"" 375 M"
141635,PR ERCP TUMOR/POLYP/LESION ABLATION W/DILATION&WIRE
141637,PR IMAGE-GUIDE FLUID COLLXN DRAINAGE CATH VISC PERQ
141638,"HHB POUCH,URSTMY,PC,1P,TRN,1 3/8"" 375 M"
141639,PR IMG-GUIDE FLUID COLLXN DRAINAG CATH PERITON PERQ
141641,PR IMAGE FLUID COLLXN DRAINAG CATH TRANSREC/VAGINAL
141642,"HHB POUCH,DRAIN C-F 1P TRN 5/8""-1 11/16"
141643,PR CYSTO/URETERO W/LITHOTRIPSY &INDWELL STENT INSRT
141645,PR CHEMODENERVATION MUSCLE NECK UNILAT FOR DYSTONIA
141646,"HHB POUCH,DRAIN C-F 1P TRN 5/8""-1 11/16"
141647,PR CHEMODENERVATION MUSCLE LARYNX UNILAT W/EMG
141650,"HHB POUCH,DRAIN PRE-CUT 1-PC TRNS 3/4"","
141653,PR CHEMODENERVATION 1 EXTREMITY 5 OR MORE MUSCLES
141654,"HHB POUCH,DRAIN PRE-CUT 1-PC TRNS 1 5/8"
141655,PR CHEMODENERVATION 1 EXTREMITY EA ADDL 5/< MUSCLES
141657,PR CHEMODENERVATION OF TRUNK MUSCLE 1-5 MUSCLES
141658,"HHB POUCH,DRAIN PRE-CUT 1-PC TRNS 7/8"","
141659,PR CHEMODENERVATION OF TRUNK 6 OR MORE MUSCLES
141661,PR INSERT ANTER DRAINAGE DEV W/O EXTRAOC RESERVOIR
141662,"HHB POUCH,DRAIN PRE-CUT 1-PC TRNS 1 5/8"
141663,CHG RESPIRATORY MOTION MANAGEMENT SIMULATION
141665,CHG DRUG SCREEN QUANTITATIVE CAFFEINE
141666,"HHB POUCH,DRN,CUTFIT,1P,GPHC 3/8""-2 1/8"
141667,CHG DRUG SCREEN QUANTITATIVE CLOZAPINE
141669,CHG DRUG SCREEN QUANTITATIVE EVEROLIMUS
141670,"HHB POUCH,DRAIN PRE-CUT 1-PC GPHC 1"",ND"
141671,CHG DRUG SCREEN QUANTITATIVE GABAPENTIN
141673,CHG DRUG SCREEN QUANTITATIVE LAMOTRIGINE
